?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany50-DFN-1month-200411

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 1month
  time  = 200411
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany50
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Aachen ( 6.04 50.76 )
  Augsburg ( 10.90 48.33 )
  Bayreuth ( 11.59 49.93 )
  Berlin ( 13.39 52.52 )
  Bielefeld ( 8.50 52.04 )
  Braunschweig ( 10.55 52.28 )
  Bremen ( 8.85 53.11 )
  Bremerhaven ( 8.58 53.54 )
  Chemnitz ( 12.93 50.84 )
  Darmstadt ( 8.65 49.89 )
  Dortmund ( 7.45 51.51 )
  Dresden ( 13.73 51.03 )
  Duesseldorf ( 6.77 51.25 )
  Erfurt ( 11.04 50.98 )
  Essen ( 7.02 51.46 )
  Flensburg ( 9.45 54.77 )
  Frankfurt ( 8.71 50.12 )
  Freiburg ( 7.80 47.98 )
  Fulda ( 9.69 50.56 )
  Giessen ( 8.67 50.57 )
  Greifswald ( 13.40 54.09 )
  Hamburg ( 9.99 53.57 )
  Hannover ( 9.72 52.38 )
  Kaiserslautern ( 7.75 49.43 )
  Karlsruhe ( 8.41 49.01 )
  Kassel ( 9.51 51.32 )
  Kempten ( 10.32 47.72 )
  Kiel ( 10.12 54.34 )
  Koblenz ( 7.52 50.40 )
  Koeln ( 6.87 50.94 )
  Konstanz ( 9.18 47.66 )
  Leipzig ( 12.38 51.34 )
  Magdeburg ( 11.64 52.14 )
  Mannheim ( 8.49 49.49 )
  Muenchen ( 11.57 48.15 )
  Muenster ( 7.60 51.97 )
  Norden ( 7.21 53.60 )
  Nuernberg ( 11.03 49.57 )
  Oldenburg ( 8.21 53.11 )
  Osnabrueck ( 8.03 52.28 )
  Passau ( 13.46 48.57 )
  Regensburg ( 12.09 49.00 )
  Saarbruecken ( 7.03 49.23 )
  Schwerin ( 11.45 53.55 )
  Siegen ( 8.03 50.91 )
  Stuttgart ( 9.10 48.74 )
  Trier ( 6.68 49.75 )
  Ulm ( 9.99 48.40 )
  Wesel ( 6.37 51.39 )
  Wuerzburg ( 9.97 49.78 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Konstanz_Greifswald ( Konstanz Greifswald ) 1 0.000002 UNLIMITED
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.022297 UNLIMITED
  Hamburg_Wuerzburg ( Hamburg Wuerzburg ) 1 0.008449 UNLIMITED
  Kassel_Giessen ( Kassel Giessen ) 1 0.452631 UNLIMITED
  Wuerzburg_Schwerin ( Wuerzburg Schwerin ) 1 0.008422 UNLIMITED
  Ulm_Kaiserslautern ( Ulm Kaiserslautern ) 1 0.000006 UNLIMITED
  Regensburg_Magdeburg ( Regensburg Magdeburg ) 1 0.012785 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 1.107066 UNLIMITED
  Frankfurt_Kaiserslautern ( Frankfurt Kaiserslautern ) 1 10.29763 UNLIMITED
  Bayreuth_Berlin ( Bayreuth Berlin ) 1 0.811087 UNLIMITED
  Magdeburg_Muenster ( Magdeburg Muenster ) 1 0.019591 UNLIMITED
  Erfurt_Norden ( Erfurt Norden ) 1 0.000627 UNLIMITED
  Magdeburg_Nuernberg ( Magdeburg Nuernberg ) 1 0.007464 UNLIMITED
  Osnabrueck_Bremen ( Osnabrueck Bremen ) 1 0.027248 UNLIMITED
  Dresden_Berlin ( Dresden Berlin ) 1 3.720898 UNLIMITED
  Passau_Oldenburg ( Passau Oldenburg ) 1 0.006396 UNLIMITED
  Freiburg_Kaiserslautern ( Freiburg Kaiserslautern ) 1 0.000559 UNLIMITED
  Schwerin_Essen ( Schwerin Essen ) 1 0.022977 UNLIMITED
  Bremerhaven_Berlin ( Bremerhaven Berlin ) 1 0.089052 UNLIMITED
  Muenster_Karlsruhe ( Muenster Karlsruhe ) 1 0.38768 UNLIMITED
  Passau_Fulda ( Passau Fulda ) 1 0.00004 UNLIMITED
  Duesseldorf_Flensburg ( Duesseldorf Flensburg ) 1 0.0005 UNLIMITED
  Bayreuth_Braunschweig ( Bayreuth Braunschweig ) 1 0.291094 UNLIMITED
  Kaiserslautern_Frankfurt ( Kaiserslautern Frankfurt ) 1 65.092485 UNLIMITED
  Giessen_Siegen ( Giessen Siegen ) 1 0.002555 UNLIMITED
  Greifswald_Darmstadt ( Greifswald Darmstadt ) 1 3.858818 UNLIMITED
  Karlsruhe_Magdeburg ( Karlsruhe Magdeburg ) 1 0.013965 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 5.038954 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 74.235485 UNLIMITED
  Bremen_Greifswald ( Bremen Greifswald ) 1 0.028056 UNLIMITED
  Muenchen_Kaiserslautern ( Muenchen Kaiserslautern ) 1 0.27308 UNLIMITED
  Wuerzburg_Bremerhaven ( Wuerzburg Bremerhaven ) 1 0.001118 UNLIMITED
  Kassel_Erfurt ( Kassel Erfurt ) 1 4.043397 UNLIMITED
  Bayreuth_Duesseldorf ( Bayreuth Duesseldorf ) 1 0.002491 UNLIMITED
  Saarbruecken_Siegen ( Saarbruecken Siegen ) 1 0.002965 UNLIMITED
  Darmstadt_Osnabrueck ( Darmstadt Osnabrueck ) 1 1.234745 UNLIMITED
  Essen_Kiel ( Essen Kiel ) 1 0.0103 UNLIMITED
  Muenster_Bremen ( Muenster Bremen ) 1 0.143378 UNLIMITED
  Regensburg_Schwerin ( Regensburg Schwerin ) 1 0.021402 UNLIMITED
  Siegen_Osnabrueck ( Siegen Osnabrueck ) 1 0.003043 UNLIMITED
  Berlin_Magdeburg ( Berlin Magdeburg ) 1 0.475028 UNLIMITED
  Oldenburg_Bremen ( Oldenburg Bremen ) 1 0.414356 UNLIMITED
  Mannheim_Muenster ( Mannheim Muenster ) 1 0.001724 UNLIMITED
  Bayreuth_Kassel ( Bayreuth Kassel ) 1 0.034093 UNLIMITED
  Berlin_Freiburg ( Berlin Freiburg ) 1 0.000462 UNLIMITED
  Giessen_Greifswald ( Giessen Greifswald ) 1 0.014549 UNLIMITED
  Konstanz_Koeln ( Konstanz Koeln ) 1 0.000014 UNLIMITED
  Frankfurt_Darmstadt ( Frankfurt Darmstadt ) 1 8.576694 UNLIMITED
  Kaiserslautern_Koeln ( Kaiserslautern Koeln ) 1 0.781556 UNLIMITED
  Muenchen_Passau ( Muenchen Passau ) 1 0.145061 UNLIMITED
  Duesseldorf_Kempten ( Duesseldorf Kempten ) 1 0.000041 UNLIMITED
  Magdeburg_Erfurt ( Magdeburg Erfurt ) 1 0.875825 UNLIMITED
  Freiburg_Bremen ( Freiburg Bremen ) 1 0.000006 UNLIMITED
  Ulm_Hamburg ( Ulm Hamburg ) 1 0.000008 UNLIMITED
  Saarbruecken_Koeln ( Saarbruecken Koeln ) 1 0.107944 UNLIMITED
  Freiburg_Regensburg ( Freiburg Regensburg ) 1 0.00004 UNLIMITED
  Augsburg_Duesseldorf ( Augsburg Duesseldorf ) 1 0.004023 UNLIMITED
  Chemnitz_Duesseldorf ( Chemnitz Duesseldorf ) 1 0.079761 UNLIMITED
  Berlin_Wuerzburg ( Berlin Wuerzburg ) 1 0.13031 UNLIMITED
  Regensburg_Osnabrueck ( Regensburg Osnabrueck ) 1 0.04377 UNLIMITED
  Duesseldorf_Bremen ( Duesseldorf Bremen ) 1 0.008131 UNLIMITED
  Erfurt_Hannover ( Erfurt Hannover ) 1 0.578594 UNLIMITED
  Braunschweig_Fulda ( Braunschweig Fulda ) 1 0.003571 UNLIMITED
  Nuernberg_Kaiserslautern ( Nuernberg Kaiserslautern ) 1 0.022447 UNLIMITED
  Koeln_Darmstadt ( Koeln Darmstadt ) 1 3.290866 UNLIMITED
  Erfurt_Frankfurt ( Erfurt Frankfurt ) 1 66.545307 UNLIMITED
  Essen_Darmstadt ( Essen Darmstadt ) 1 2.806947 UNLIMITED
  Muenchen_Mannheim ( Muenchen Mannheim ) 1 0.270684 UNLIMITED
  Konstanz_Nuernberg ( Konstanz Nuernberg ) 1 0.000002 UNLIMITED
  Siegen_Kassel ( Siegen Kassel ) 1 0.021624 UNLIMITED
  Oldenburg_Greifswald ( Oldenburg Greifswald ) 1 0.037333 UNLIMITED
  Konstanz_Oldenburg ( Konstanz Oldenburg ) 1 0.000128 UNLIMITED
  Darmstadt_Karlsruhe ( Darmstadt Karlsruhe ) 1 0.610089 UNLIMITED
  Kempten_Norden ( Kempten Norden ) 1 0.000021 UNLIMITED
  Essen_Regensburg ( Essen Regensburg ) 1 0.035486 UNLIMITED
  Dortmund_Oldenburg ( Dortmund Oldenburg ) 1 0.075552 UNLIMITED
  Duesseldorf_Norden ( Duesseldorf Norden ) 1 0.000093 UNLIMITED
  Greifswald_Oldenburg ( Greifswald Oldenburg ) 1 0.067715 UNLIMITED
  Karlsruhe_Leipzig ( Karlsruhe Leipzig ) 1 0.049819 UNLIMITED
